,Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
38,39,4.4,3.0,1.3,0.2,Iris-setosa
44,45,5.1,3.8,1.9,0.4,Iris-setosa
26,27,5.0,3.4,1.6,0.4,Iris-setosa
45,46,4.8,3.0,1.4,0.3,Iris-setosa
28,29,5.2,3.4,1.4,0.2,Iris-setosa
1,2,4.9,3.0,1.4,0.2,Iris-setosa
49,50,5.0,3.3,1.4,0.2,Iris-setosa
3,4,4.6,3.1,1.5,0.2,Iris-setosa
33,34,5.5,4.2,1.4,0.2,Iris-setosa
47,48,4.6,3.2,1.4,0.2,Iris-setosa
7,8,5.0,3.4,1.5,0.2,Iris-setosa
40,41,5.0,3.5,1.3,0.3,Iris-setosa
9,10,4.9,3.1,1.5,0.1,Iris-setosa
30,31,4.8,3.1,1.6,0.2,Iris-setosa
12,13,4.8,3.0,1.4,0.1,Iris-setosa
17,18,5.1,3.5,1.4,0.3,Iris-setosa
23,24,5.1,3.3,1.7,0.5,Iris-setosa
24,25,4.8,3.4,1.9,0.2,Iris-setosa
27,28,5.2,3.5,1.5,0.2,Iris-setosa
15,16,5.7,4.4,1.5,0.4,Iris-setosa
10,11,5.4,3.7,1.5,0.2,Iris-setosa
37,38,4.9,3.1,1.5,0.1,Iris-setosa
8,9,4.4,2.9,1.4,0.2,Iris-setosa
43,44,5.0,3.5,1.6,0.6,Iris-setosa
21,22,5.1,3.7,1.5,0.4,Iris-setosa
39,40,5.1,3.4,1.5,0.2,Iris-setosa
29,30,4.7,3.2,1.6,0.2,Iris-setosa
20,21,5.4,3.4,1.7,0.2,Iris-setosa
41,42,4.5,2.3,1.3,0.3,Iris-setosa
25,26,5.0,3.0,1.6,0.2,Iris-setosa
77,78,6.7,3.0,5.0,1.7,Iris-versicolor
65,66,6.7,3.1,4.4,1.4,Iris-versicolor
88,89,5.6,3.0,4.1,1.3,Iris-versicolor
87,88,6.3,2.3,4.4,1.3,Iris-versicolor
52,53,6.9,3.1,4.9,1.5,Iris-versicolor
69,70,5.6,2.5,3.9,1.1,Iris-versicolor
80,81,5.5,2.4,3.8,1.1,Iris-versicolor
60,61,5.0,2.0,3.5,1.0,Iris-versicolor
85,86,6.0,3.4,4.5,1.6,Iris-versicolor
57,58,4.9,2.4,3.3,1.0,Iris-versicolor
96,97,5.7,2.9,4.2,1.3,Iris-versicolor
70,71,5.9,3.2,4.8,1.8,Iris-versicolor
86,87,6.7,3.1,4.7,1.5,Iris-versicolor
58,59,6.6,2.9,4.6,1.3,Iris-versicolor
63,64,6.1,2.9,4.7,1.4,Iris-versicolor
61,62,5.9,3.0,4.2,1.5,Iris-versicolor
54,55,6.5,2.8,4.6,1.5,Iris-versicolor
64,65,5.6,2.9,3.6,1.3,Iris-versicolor
90,91,5.5,2.6,4.4,1.2,Iris-versicolor
75,76,6.6,3.0,4.4,1.4,Iris-versicolor
51,52,6.4,3.2,4.5,1.5,Iris-versicolor
53,54,5.5,2.3,4.0,1.3,Iris-versicolor
94,95,5.6,2.7,4.2,1.3,Iris-versicolor
66,67,5.6,3.0,4.5,1.5,Iris-versicolor
95,96,5.7,3.0,4.2,1.2,Iris-versicolor
62,63,6.0,2.2,4.0,1.0,Iris-versicolor
68,69,6.2,2.2,4.5,1.5,Iris-versicolor
84,85,5.4,3.0,4.5,1.5,Iris-versicolor
74,75,6.4,2.9,4.3,1.3,Iris-versicolor
78,79,6.0,2.9,4.5,1.5,Iris-versicolor
113,114,5.7,2.5,5.0,2.0,Iris-virginica
114,115,5.8,2.8,5.1,2.4,Iris-virginica
137,138,6.4,3.1,5.5,1.8,Iris-virginica
141,142,6.9,3.1,5.1,2.3,Iris-virginica
147,148,6.5,3.0,5.2,2.0,Iris-virginica
132,133,6.4,2.8,5.6,2.2,Iris-virginica
129,130,7.2,3.0,5.8,1.6,Iris-virginica
138,139,6.0,3.0,4.8,1.8,Iris-virginica
107,108,7.3,2.9,6.3,1.8,Iris-virginica
125,126,7.2,3.2,6.0,1.8,Iris-virginica
121,122,5.6,2.8,4.9,2.0,Iris-virginica
131,132,7.9,3.8,6.4,2.0,Iris-virginica
142,143,5.8,2.7,5.1,1.9,Iris-virginica
133,134,6.3,2.8,5.1,1.5,Iris-virginica
128,129,6.4,2.8,5.6,2.1,Iris-virginica
149,150,5.9,3.0,5.1,1.8,Iris-virginica
146,147,6.3,2.5,5.0,1.9,Iris-virginica
102,103,7.1,3.0,5.9,2.1,Iris-virginica
101,102,5.8,2.7,5.1,1.9,Iris-virginica
140,141,6.7,3.1,5.6,2.4,Iris-virginica
104,105,6.5,3.0,5.8,2.2,Iris-virginica
145,146,6.7,3.0,5.2,2.3,Iris-virginica
139,140,6.9,3.1,5.4,2.1,Iris-virginica
120,121,6.9,3.2,5.7,2.3,Iris-virginica
130,131,7.4,2.8,6.1,1.9,Iris-virginica
144,145,6.7,3.3,5.7,2.5,Iris-virginica
111,112,6.4,2.7,5.3,1.9,Iris-virginica
112,113,6.8,3.0,5.5,2.1,Iris-virginica
148,149,6.2,3.4,5.4,2.3,Iris-virginica
127,128,6.1,3.0,4.9,1.8,Iris-virginica
